Date,AAPL,D,JNJ,JPM,KO,NVDA,PEP,PG,TSLA,WMT
2015-01-05,-0.028575863739135055,-0.01220478866779392,-0.007008770972086915,-0.03153707105722951,0.0,-0.01703483433439956,-0.0075466820862749515,-0.004765456851186912,-0.042950328828715974,-0.0029147179962488693
2015-01-06,9.413340811701111e-05,-0.005108284723001838,-0.0049257146700771625,-0.026271157764202,0.007565272960620253,-0.030787237493227378,-0.007603620229226265,-0.004566043448378408,0.005648255842151179,0.007676455749169015
2015-01-07,0.013924666844912864,0.004062316949069487,0.021835754145785053,0.001524646523953514,0.012405259834119834,-0.002608808391570148,0.028821688547528656,0.005232133891541767,-0.0015631517125408972,0.026186067291965962
2015-01-08,0.03770232574302987,0.011700754338558642,0.007832025669748865,0.02210041712015732,0.012022907662719705,0.03692718986845304,0.01801095690309328,0.01137062476711588,-0.00156553106269541,0.020886691418885044
2015-01-09,0.0010721373792180497,-0.011308388203345114,-0.013722675292273034,-0.017539864469916188,-0.011093057081651791,0.004019965609645985,-0.006793637230960715,-0.009373991088646302,-0.01898062692006783,-0.012457135611928134
2015-01-12,-0.02494923997773202,0.0,-0.003436617771205235,-0.00863174009393232,-0.009104790358093957,-0.012616752885731707,-0.004140117708202256,-0.003663375100162264,-0.021768130883067914,0.007470489082068721
2015-01-13,0.008839319404968843,-0.0007844186261741625,0.001719736391148418,0.00016997129467115292,-0.0002347256417039442,-0.001524937795577042,-0.0007260619784906927,0.0042173454599159325,0.010037948528329803,-0.007918146023893523
2015-01-14,-0.003817644345412092,0.0001308571076157128,-0.007281182682090142,-0.03510921678477993,-0.0016430618159311151,0.0040610928571879245,0.00331573773156471,-0.0034393917187068843,-0.05826208511535263,-0.030698193832317006
2015-01-15,-0.027515231421699708,0.00937375096419209,-0.014625524877040118,-0.03256113464786272,-0.004238539045604854,-0.007117392273223821,0.0,-0.001445269537507881,-0.0042646091303445875,0.008851091812283033
2015-01-16,-0.007800727061090316,0.007616256735969536,0.015010338501203698,0.016949542097387093,0.0035329975151103346,0.01820060154007391,0.006393056562711296,0.01534996439610288,0.006234752215779189,-0.007005689684374996
2015-01-20,0.02543104208855846,0.007813929918372082,-0.026787487564433263,-0.003941710019923322,0.014704700040705634,0.003001382791241354,0.0022586187937804324,-0.0006578106046680105,-0.005922112022732375,-0.0009220727710425749
2015-01-21,0.007605277204163852,0.011418919886900072,0.0060036703696926385,0.0032258942576809608,0.004623499083738297,0.013889029592412136,-0.0011289923410888495,0.002029800307160041,0.023887916243012904,-0.0005774269205302533
