,Weight
AAPL,0.06996236733830867
D,2.6020852139652106e-18
JNJ,0.0
JPM,0.08099536519898992
KO,0.0
NVDA,0.42659078243000587
PEP,1.5612511283791264e-17
PG,0.05922435404171547
TSLA,0.02026113389323541
WMT,0.34296599709774467
