,Weight
AAPL,0.05000000000000001
D,0.050609444429514
JNJ,0.25630597661992516
JPM,0.05
KO,0.16857856270748253
NVDA,0.05000000000000003
PEP,0.05000000000000001
PG,0.11854223470637396
TSLA,0.05000000000000002
WMT,0.15596378153670434
