Date,AAPL,D,JNJ,JPM,KO,NVDA,PEP,PG,TSLA,WMT
2015-01-02,24.2885799407959,49.614662170410156,78.01260375976562,47.17426300048828,30.222610473632812,0.4830656349658966,69.21913146972656,67.44156646728516,14.620667457580566,23.32090950012207
2015-01-05,23.60433578491211,49.0128059387207,77.46774291992188,45.709739685058594,30.222610473632812,0.47490638494491577,68.69872283935547,67.12094116210938,14.005999565124512,23.253034591674805
2015-01-06,23.606557846069336,48.7630729675293,77.08709716796875,44.52452850341797,30.452119827270508,0.4605081081390381,68.1783447265625,66.8151626586914,14.085332870483398,23.432222366333008
2015-01-07,23.937570571899414,48.96156692504883,78.78886413574219,44.592464447021484,30.832239151000977,0.45930829644203186,70.17195129394531,67.16566467285156,14.063332557678223,24.053924560546875
2015-01-08,24.857301712036133,49.537818908691406,79.40836334228516,45.58894729614258,31.205169677734375,0.47658631205558777,71.447265625,67.9337387084961,14.041333198547363,24.561614990234375
2015-01-09,24.88396644592285,48.98078155517578,78.32611083984375,44.796295166015625,30.86092185974121,0.47850602865219116,70.9635238647461,67.2999038696289,13.77733325958252,24.257545471191406
2015-01-12,24.270811080932617,48.98078155517578,78.0573959350586,44.41128921508789,30.581214904785156,0.4725067615509033,70.67033386230469,67.0538101196289,13.480667114257812,24.43943977355957
2015-01-13,24.486299514770508,48.94237518310547,78.1917495727539,44.41883850097656,30.574037551879883,0.471786767244339,70.6190414428711,67.33719635009766,13.616666793823242,24.246688842773438
2015-01-14,24.39299774169922,48.94878005981445,77.6244888305664,42.88638687133789,30.52384376525879,0.4737066328525543,70.85358428955078,67.10599517822266,12.845999717712402,23.513668060302734
2015-01-15,23.730968475341797,49.40977096557617,76.49745178222656,41.512447357177734,30.39474105834961,0.4703470468521118,70.85358428955078,67.00907897949219,12.791333198547363,23.722713470458984
2015-01-16,23.54656982421875,49.78752517700195,77.65436553955078,42.22206115722656,30.502315521240234,0.4789860248565674,71.3080062866211,68.04560089111328,12.871333122253418,23.557100296020508
2015-01-20,24.15306282043457,50.17808532714844,75.60181427001953,42.05596160888672,30.95415687561035,0.48042580485343933,71.46924591064453,68.0008544921875,12.795332908630371,23.535388946533203
2015-01-21,24.337453842163086,50.75434875488281,76.05706787109375,42.19184875488281,31.097604751586914,0.48714500665664673,71.38860321044922,68.13902282714844,13.104666709899902,23.52180290222168
2015-01-22,24.97060775756836,50.40217590332031,77.44535827636719,43.47520446777344,31.398813247680664,0.4955441355705261,72.48802947998047,68.80743408203125,13.441332817077637,23.972482681274414
2015-01-23,25.09946060180664,50.63908767700195,76.28097534179688,42.78823471069336,31.061738967895508,0.49698400497436523,72.21684265136719,67.65089416503906,13.419333457946777,24.029491424560547
2015-01-26,25.126113891601562,50.53664779663086,76.32579040527344,42.85618591308594,30.83940887451172,0.49482426047325134,72.33413696289062,67.27538299560547,13.770000457763672,24.062074661254883
2015-01-27,24.246374130249023,50.56866455078125,76.19886779785156,42.425880432128906,30.401931762695312,0.4710668623447418,70.89022064208984,64.95472717285156,13.732000350952148,23.763442993164062
2015-01-28,25.617084503173828,49.84514236450195,75.74359130859375,41.33126449584961,30.06484031677246,0.46338775753974915,70.15727996826172,63.94840621948242,13.291333198547363,23.570680618286133
2015-01-29,26.414636611938477,50.67109680175781,76.41535949707031,42.025779724121094,30.193927764892578,0.4746665060520172,70.38448333740234,64.33892822265625,13.680000305175781,23.815021514892578
2015-01-30,26.028079986572266,49.23049545288086,74.74343872070312,41.051944732666016,29.52693748474121,0.46074801683425903,68.73538970947266,63.30255126953125,13.573332786560059,23.071138381958008
2015-02-02,26.354650497436523,49.761898040771484,75.2584457397461,41.87480545043945,29.828176498413086,0.4708269238471985,69.8714370727539,63.92588424682617,14.062666893005371,23.269323348999023
2015-02-03,26.35909652709961,50.31254959106445,76.47505950927734,42.81842803955078,29.856853485107422,0.4825855493545532,70.50907897949219,64.54920959472656,14.557332992553711,23.399642944335938
2015-02-04,26.561256408691406,49.704288482666016,75.65402221679688,42.56175994873047,29.892709732055664,0.4837855398654938,70.80225372314453,64.42906188964844,14.569999694824219,23.524526596069336
2015-02-05,26.75082778930664,50.38296890258789,76.47505950927734,42.85618591308594,29.97159194946289,0.4917045533657074,70.80958557128906,65.1124496459961,14.732666969299316,23.695558547973633
2015-02-06,26.52557945251465,48.4749641418457,75.45996856689453,43.7016716003418,29.727754592895508,0.4895447790622711,70.88288879394531,64.29386901855469,14.490667343139648,23.709135055541992
2015-02-09,26.701772689819336,48.167633056640625,74.4747314453125,43.64883041381836,29.569974899291992,0.4890649914741516,70.34051513671875,63.87331771850586,14.498666763305664,23.32362174987793
2015-02-10,27.214754104614258,49.08322525024414,74.900146484375,44.1319694519043,30.40909767150879,0.5027432441711426,71.8210678100586,64.1286392211914,14.419333457946777,23.698284149169922
2015-02-11,27.852630615234375,47.45693588256836,74.9225845336914,44.064029693603516,30.387592315673828,0.4993835985660553,73.58744812011719,64.31639099121094,14.186667442321777,23.44036865234375
2015-02-12,28.205036163330078,47.20083236694336,73.47457122802734,44.96991729736328,30.24413299560547,0.5351397395133972,73.4921646118164,64.60928344726562,13.525333404541016,23.31818962097168
2015-02-13,28.34331512451172,46.68220901489258,74.3553237915039,45.04541778564453,30.11503791809082,0.5353798270225525,72.65663146972656,64.51167297363281,13.584667205810547,23.296466827392578
2015-02-17,28.510591506958008,46.855072021484375,74.96734619140625,45.370025634765625,29.98593521118164,0.5370594263076782,72.09225463867188,64.20374298095703,13.623332977294922,23.33720588684082
